iso_code	continent	location	date	total_cases	new_cases	rolling 7d		total_deaths	new_deaths	icu_patients	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations
DEU	Europe	Germany	02.02.2020	10	2			0	0	0	0	0	0	0
DEU	Europe	Germany	03.02.2020	12	2			0	0	0	0	0	0	0
DEU	Europe	Germany	04.02.2020	12	0			0	0	0	0	0	0	0
DEU	Europe	Germany	05.02.2020	12	0			0	0	0	0	0	0	0
DEU	Europe	Germany	06.02.2020	12	0			0	0	0	0	0	0	0
DEU	Europe	Germany	07.02.2020	13	1			0	0	0	0	0	0	0
DEU	Europe	Germany	08.02.2020	13	0	0,714285714		0	0	0	0	0	0	0
DEU	Europe	Germany	09.02.2020	14	1	0,571428571		0	0	0	0	0	0	0
DEU	Europe	Germany	10.02.2020	14	0	0,285714286		0	0	0	0	0	0	0
DEU	Europe	Germany	11.02.2020	16	2	0,571428571		0	0	0	0	0	0	0
DEU	Europe	Germany	12.02.2020	16	0	0,571428571		0	0	0	0	0	0	0
DEU	Europe	Germany	13.02.2020	16	0	0,571428571		0	0	0	0	0	0	0
DEU	Europe	Germany	14.02.2020	16	0	0,428571429		0	0	0	0	0	0	0
DEU	Europe	Germany	15.02.2020	16	0	0,428571429		0	0	0	0	0	0	0
DEU	Europe	Germany	16.02.2020	16	0	0,285714286		0	0	0	0	0	0	0
DEU	Europe	Germany	17.02.2020	16	0	0,285714286		0	0	0	0	0	0	0
DEU	Europe	Germany	18.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	19.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	20.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	21.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	22.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	23.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	24.02.2020	16	0	0		0	0	0	0	0	0	0
DEU	Europe	Germany	25.02.2020	17	1	0,142857143		0	0	0	0	0	0	0
DEU	Europe	Germany	26.02.2020	27	10	1,571428571		0	0	0	0	0	0	0
DEU	Europe	Germany	27.02.2020	46	19	4,285714286		0	0	0	0	0	0	0
DEU	Europe	Germany	28.02.2020	48	2	4,571428571		0	0	0	0	0	0	0
DEU	Europe	Germany	29.02.2020	79	31	9		0	0	0	0	0	0	0
DEU	Europe	Germany	01.03.2020	130	51	16,28571429		0	0	0	0	0	0	0
DEU	Europe	Germany	02.03.2020	159	29	20,42857143		0	0	0	0	0	0	0
DEU	Europe	Germany	03.03.2020	196	37	25,57142857		0	0	0	0	0	0	0
DEU	Europe	Germany	04.03.2020	262	66	33,57142857		0	0	0	0	0	0	0
DEU	Europe	Germany	05.03.2020	482	220	62,28571429		0	0	0	0	0	0	0
DEU	Europe	Germany	06.03.2020	670	188	88,85714286		0	0	0	0	0	0	0
DEU	Europe	Germany	07.03.2020	799	129	102,8571429		0	0	0	0	0	0	0
DEU	Europe	Germany	08.03.2020	1040	241	130		0	0	0	0	0	0	0
DEU	Europe	Germany	09.03.2020	1176	136	145,2857143		2	2	0	0	0	0	0
DEU	Europe	Germany	10.03.2020	1457	281	180,1428571		2	0	0	0	0	0	0
DEU	Europe	Germany	11.03.2020	1908	451	235,1428571		3	1	0	0	0	0	0
DEU	Europe	Germany	12.03.2020	2078	170	228		3	0	0	0	0	0	0
DEU	Europe	Germany	13.03.2020	3675	1597	429,2857143		7	4	0	0	0	0	0
DEU	Europe	Germany	14.03.2020	4585	910	540,8571429		9	2	0	0	0	0	0
DEU	Europe	Germany	15.03.2020	5795	1210	679,2857143		11	2	0	0	0	0	0
DEU	Europe	Germany	16.03.2020	7272	1477	870,8571429		17	6	0	0	0	0	0
DEU	Europe	Germany	17.03.2020	9257	1985	1114,285714		24	7	0	0	0	0	0
DEU	Europe	Germany	18.03.2020	12327	3070	1488,428571		28	4	0	0	0	0	0
DEU	Europe	Germany	19.03.2020	15320	2993	1891,714286		44	16	0	0	0	0	0
DEU	Europe	Germany	20.03.2020	19848	4528	2310,428571		67	23	200	0	0	0	0
DEU	Europe	Germany	21.03.2020	22213	2365	2518,285714		84	17	308	0	0	0	0
DEU	Europe	Germany	22.03.2020	24873	2660	2725,428571		94	10	364	0	0	0	0
DEU	Europe	Germany	23.03.2020	29056	4183	3112		123	29	451	0	0	0	0
DEU	Europe	Germany	24.03.2020	32986	3930	3389,857143		157	34	616	0	0	0	0
DEU	Europe	Germany	25.03.2020	37323	4337	3570,857143		206	49	789	0	0	0	0
DEU	Europe	Germany	26.03.2020	43938	6615	4088,285714		267	61	824	0	0	0	0
DEU	Europe	Germany	27.03.2020	50871	6933	4431,857143		342	75	905	0	0	0	0
DEU	Europe	Germany	28.03.2020	57695	6824	5068,857143		433	91	1001	0	0	0	0
DEU	Europe	Germany	29.03.2020	62095	4400	5317,428571		533	100	1063	0	0	0	0
DEU	Europe	Germany	30.03.2020	66885	4790	5404,142857		645	112	1203	0	0	0	0
DEU	Europe	Germany	31.03.2020	71808	4923	5546		775	130	1550	0	0	0	0
DEU	Europe	Germany	01.04.2020	77872	6064	5792,714286		920	145	1784	0	0	0	0
DEU	Europe	Germany	02.04.2020	84794	6922	5836,571429		1107	187	2102	0	0	0	0
DEU	Europe	Germany	03.04.2020	91159	6365	5755,428571		1275	168	2361	0	0	0	0
DEU	Europe	Germany	04.04.2020	96092	4933	5485,285714		1444	169	2471	0	0	0	0
DEU	Europe	Germany	05.04.2020	100123	4031	5432,571429		1584	140	2528	0	0	0	0
DEU	Europe	Germany	06.04.2020	103374	3251	5212,714286		1810	226	2551	0	0	0	0
DEU	Europe	Germany	07.04.2020	107663	4289	5122,142857		2016	206	2641	0	0	0	0
DEU	Europe	Germany	08.04.2020	113296	5633	5060,571429		2349	333	2654	0	0	0	0
DEU	Europe	Germany	09.04.2020	118181	4885	4769,571429		2607	258	2714	0	0	0	0
DEU	Europe	Germany	10.04.2020	122171	3990	4430,285714		2767	160	2702	0	0	0	0
DEU	Europe	Germany	11.04.2020	124908	2737	4116,571429		2736	-31	2652	0	0	0	0
DEU	Europe	Germany	12.04.2020	127854	2946	3961,571429		3022	286	2652	0	0	0	0
DEU	Europe	Germany	13.04.2020	130072	2218	3814		3194	172	2719	0	0	0	0
DEU	Europe	Germany	14.04.2020	131359	1287	3385,142857		3294	100	2722	0	0	0	0
DEU	Europe	Germany	15.04.2020	134753	3394	3065,285714		3804	510	2735	0	0	0	0
DEU	Europe	Germany	16.04.2020	137698	2945	2788,142857		4052	248	2810	0	0	0	0
DEU	Europe	Germany	17.04.2020	141397	3699	2746,571429		4352	300	2879	0	0	0	0
DEU	Europe	Germany	18.04.2020	143342	1945	2633,428571		4459	107	2928	0	0	0	0
DEU	Europe	Germany	19.04.2020	145184	1842	2475,714286		4586	127	2870	0	0	0	0
DEU	Europe	Germany	20.04.2020	147065	1881	2427,571429		4862	276	2900	0	0	0	0
DEU	Europe	Germany	21.04.2020	148291	1226	2418,857143		5033	171	2855	0	0	0	0
DEU	Europe	Germany	22.04.2020	150648	2357	2270,714286		5279	246	2739	0	0	0	0
DEU	Europe	Germany	23.04.2020	153129	2481	2204,428571		5575	296	2720	0	0	0	0
DEU	Europe	Germany	24.04.2020	154999	1870	1943,142857		5760	185	2644	0	0	0	0
DEU	Europe	Germany	25.04.2020	156513	1514	1881,571429		5877	117	2538	0	0	0	0
DEU	Europe	Germany	26.04.2020	157770	1257	1798		5976	99	2524	0	0	0	0
DEU	Europe	Germany	27.04.2020	158758	988	1670,428571		6126	150	2466	0	0	0	0
DEU	Europe	Germany	28.04.2020	159912	1154	1660,142857		6314	188	2391	0	0	0	0
