date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,new_vaccinations
02.02.2020,10.0,2.0,0.0,0.0,0.0,0.0
03.02.2020,12.0,2.0,0.0,0.0,0.0,0.0
04.02.2020,12.0,0.0,0.0,0.0,0.0,0.0
05.02.2020,12.0,0.0,0.0,0.0,0.0,0.0
06.02.2020,12.0,0.0,0.0,0.0,0.0,0.0
07.02.2020,13.0,1.0,0.0,0.0,0.0,0.0
08.02.2020,13.0,0.0,0.0,0.0,0.0,0.0
09.02.2020,14.0,1.0,0.0,0.0,0.0,0.0
10.02.2020,14.0,0.0,0.0,0.0,0.0,0.0
11.02.2020,16.0,2.0,0.0,0.0,0.0,0.0
12.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
13.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
14.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
15.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
16.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
17.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
18.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
19.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
20.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
21.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
22.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
23.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
24.02.2020,16.0,0.0,0.0,0.0,0.0,0.0
25.02.2020,17.0,1.0,0.0,0.0,0.0,0.0
26.02.2020,27.0,10.0,0.0,0.0,0.0,0.0
27.02.2020,46.0,19.0,0.0,0.0,0.0,0.0
28.02.2020,48.0,2.0,0.0,0.0,0.0,0.0
29.02.2020,79.0,31.0,0.0,0.0,0.0,0.0
01.03.2020,130.0,51.0,0.0,0.0,0.0,0.0
02.03.2020,159.0,29.0,0.0,0.0,0.0,0.0
03.03.2020,196.0,37.0,0.0,0.0,0.0,0.0
04.03.2020,262.0,66.0,0.0,0.0,0.0,0.0
05.03.2020,482.0,220.0,0.0,0.0,0.0,0.0
06.03.2020,670.0,188.0,0.0,0.0,0.0,0.0
07.03.2020,799.0,129.0,0.0,0.0,0.0,0.0
08.03.2020,1040.0,241.0,0.0,0.0,0.0,0.0
09.03.2020,1176.0,136.0,2.0,2.0,0.0,0.0
10.03.2020,1457.0,281.0,2.0,0.0,0.0,0.0
11.03.2020,1908.0,451.0,3.0,1.0,0.0,0.0
12.03.2020,2078.0,170.0,3.0,0.0,0.0,0.0
13.03.2020,3675.0,1597.0,7.0,4.0,0.0,0.0
14.03.2020,4585.0,910.0,9.0,2.0,0.0,0.0
15.03.2020,5795.0,1210.0,11.0,2.0,0.0,0.0
16.03.2020,7272.0,1477.0,17.0,6.0,0.0,0.0
17.03.2020,9257.0,1985.0,24.0,7.0,0.0,0.0
18.03.2020,12327.0,3070.0,28.0,4.0,0.0,0.0
19.03.2020,15320.0,2993.0,44.0,16.0,0.0,0.0
20.03.2020,19848.0,4528.0,67.0,23.0,0.0,0.0
21.03.2020,22213.0,2365.0,84.0,17.0,0.0,0.0
22.03.2020,24873.0,2660.0,94.0,10.0,0.0,0.0
23.03.2020,29056.0,4183.0,123.0,29.0,0.0,0.0
24.03.2020,32986.0,3930.0,157.0,34.0,0.0,0.0
25.03.2020,37323.0,4337.0,206.0,49.0,0.0,0.0
26.03.2020,43938.0,6615.0,267.0,61.0,0.0,0.0
27.03.2020,50871.0,6933.0,342.0,75.0,0.0,0.0
28.03.2020,57695.0,6824.0,433.0,91.0,0.0,0.0
29.03.2020,62095.0,4400.0,533.0,100.0,0.0,0.0
30.03.2020,66885.0,4790.0,645.0,112.0,0.0,0.0
31.03.2020,71808.0,4923.0,775.0,130.0,0.0,0.0
01.04.2020,77872.0,6064.0,920.0,145.0,0.0,0.0
02.04.2020,84794.0,6922.0,1107.0,187.0,0.0,0.0
03.04.2020,91159.0,6365.0,1275.0,168.0,0.0,0.0
04.04.2020,96092.0,4933.0,1444.0,169.0,0.0,0.0
05.04.2020,100123.0,4031.0,1584.0,140.0,0.0,0.0
06.04.2020,103374.0,3251.0,1810.0,226.0,0.0,0.0
07.04.2020,107663.0,4289.0,2016.0,206.0,0.0,0.0
08.04.2020,113296.0,5633.0,2349.0,333.0,0.0,0.0
09.04.2020,118181.0,4885.0,2607.0,258.0,0.0,0.0
10.04.2020,122171.0,3990.0,2767.0,160.0,0.0,0.0
11.04.2020,124908.0,2737.0,2736.0,-31.0,0.0,0.0
12.04.2020,127854.0,2946.0,3022.0,286.0,0.0,0.0
13.04.2020,130072.0,2218.0,3194.0,172.0,0.0,0.0
14.04.2020,131359.0,1287.0,3294.0,100.0,0.0,0.0
15.04.2020,134753.0,3394.0,3804.0,510.0,0.0,0.0
16.04.2020,137698.0,2945.0,4052.0,248.0,0.0,0.0
17.04.2020,141397.0,3699.0,4352.0,300.0,0.0,0.0
18.04.2020,143342.0,1945.0,4459.0,107.0,0.0,0.0
19.04.2020,145184.0,1842.0,4586.0,127.0,0.0,0.0
20.04.2020,147065.0,1881.0,4862.0,276.0,0.0,0.0
21.04.2020,148291.0,1226.0,5033.0,171.0,0.0,0.0
22.04.2020,150648.0,2357.0,5279.0,246.0,0.0,0.0
23.04.2020,153129.0,2481.0,5575.0,296.0,0.0,0.0
24.04.2020,154999.0,1870.0,5760.0,185.0,0.0,0.0
25.04.2020,156513.0,1514.0,5877.0,117.0,0.0,0.0
26.04.2020,157770.0,1257.0,5976.0,99.0,0.0,0.0
27.04.2020,158758.0,988.0,6126.0,150.0,0.0,0.0
28.04.2020,159912.0,1154.0,6314.0,188.0,0.0,0.0
29.04.2020,161539.0,1627.0,6467.0,153.0,0.0,0.0
30.04.2020,163009.0,1470.0,6623.0,156.0,0.0,0.0
01.05.2020,164077.0,1068.0,6736.0,113.0,0.0,0.0
02.05.2020,164967.0,890.0,6812.0,76.0,0.0,0.0
03.05.2020,165664.0,697.0,6866.0,54.0,0.0,0.0
04.05.2020,166152.0,488.0,6993.0,127.0,0.0,0.0
05.05.2020,167007.0,855.0,6993.0,0.0,0.0,0.0
06.05.2020,168162.0,1155.0,7275.0,282.0,0.0,0.0
07.05.2020,169430.0,1268.0,7392.0,117.0,0.0,0.0
08.05.2020,170588.0,1158.0,7510.0,118.0,0.0,0.0
09.05.2020,171324.0,736.0,7549.0,39.0,0.0,0.0
10.05.2020,171879.0,555.0,7569.0,20.0,0.0,0.0
11.05.2020,172576.0,697.0,7661.0,92.0,0.0,0.0
12.05.2020,173171.0,595.0,7738.0,77.0,0.0,0.0
13.05.2020,174098.0,927.0,7861.0,123.0,0.0,0.0
14.05.2020,174478.0,380.0,7884.0,23.0,0.0,0.0
15.05.2020,175233.0,755.0,7897.0,13.0,0.0,0.0
16.05.2020,175752.0,519.0,7938.0,41.0,0.0,0.0
17.05.2020,176369.0,617.0,7962.0,24.0,0.0,0.0
18.05.2020,176551.0,182.0,8003.0,41.0,0.0,0.0
19.05.2020,177778.0,1227.0,8081.0,78.0,0.0,0.0
20.05.2020,178473.0,695.0,8144.0,63.0,0.0,0.0
21.05.2020,179021.0,548.0,8203.0,59.0,0.0,0.0
22.05.2020,179710.0,689.0,8228.0,25.0,0.0,0.0
23.05.2020,179986.0,276.0,8261.0,33.0,0.0,0.0
24.05.2020,180328.0,342.0,8283.0,22.0,0.0,0.0
25.05.2020,180600.0,272.0,8309.0,26.0,0.0,0.0
26.05.2020,181200.0,600.0,8372.0,63.0,0.0,0.0
27.05.2020,181524.0,324.0,8428.0,56.0,0.0,0.0
28.05.2020,182196.0,672.0,8470.0,42.0,0.0,0.0
29.05.2020,182922.0,726.0,8504.0,34.0,0.0,0.0
30.05.2020,183189.0,267.0,8530.0,26.0,0.0,0.0
31.05.2020,183410.0,221.0,8540.0,10.0,0.0,0.0
01.06.2020,183594.0,184.0,8555.0,15.0,0.0,0.0
02.06.2020,183879.0,285.0,8563.0,8.0,0.0,0.0
03.06.2020,184121.0,242.0,8602.0,39.0,0.0,0.0
04.06.2020,184472.0,351.0,8635.0,33.0,0.0,0.0
05.06.2020,184924.0,452.0,8658.0,23.0,0.0,0.0
06.06.2020,185450.0,526.0,8673.0,15.0,0.0,0.0
07.06.2020,185750.0,300.0,8685.0,12.0,0.0,0.0
08.06.2020,186109.0,359.0,8695.0,10.0,0.0,0.0
09.06.2020,186506.0,397.0,8736.0,41.0,0.0,0.0
10.06.2020,186522.0,16.0,8752.0,16.0,0.0,0.0
11.06.2020,186691.0,169.0,8772.0,20.0,0.0,0.0
12.06.2020,187226.0,535.0,8783.0,11.0,0.0,0.0
13.06.2020,187267.0,41.0,8793.0,10.0,0.0,0.0
14.06.2020,187518.0,251.0,8801.0,8.0,0.0,0.0
15.06.2020,187682.0,164.0,8807.0,6.0,0.0,0.0
16.06.2020,188252.0,570.0,8820.0,13.0,0.0,0.0
17.06.2020,188604.0,352.0,8851.0,31.0,0.0,0.0
18.06.2020,189817.0,1213.0,8875.0,24.0,0.0,0.0
19.06.2020,190299.0,482.0,8887.0,12.0,0.0,0.0
20.06.2020,190670.0,371.0,8895.0,8.0,0.0,0.0
21.06.2020,191272.0,602.0,8895.0,0.0,0.0,0.0
22.06.2020,191768.0,496.0,8899.0,4.0,0.0,0.0
23.06.2020,192480.0,712.0,8914.0,15.0,0.0,0.0
24.06.2020,192871.0,391.0,8928.0,14.0,0.0,0.0
25.06.2020,193371.0,500.0,8940.0,12.0,0.0,0.0
26.06.2020,194036.0,665.0,8965.0,25.0,0.0,0.0
27.06.2020,194458.0,422.0,8968.0,3.0,0.0,0.0
28.06.2020,194693.0,235.0,8968.0,0.0,0.0,0.0
29.06.2020,195042.0,349.0,8976.0,8.0,0.0,0.0
30.06.2020,195418.0,376.0,8990.0,14.0,0.0,0.0
01.07.2020,195893.0,475.0,8995.0,5.0,0.0,0.0
02.07.2020,196370.0,477.0,9006.0,11.0,0.0,0.0
03.07.2020,196780.0,410.0,9010.0,4.0,0.0,0.0
04.07.2020,197198.0,418.0,9020.0,10.0,0.0,0.0
05.07.2020,197523.0,325.0,9023.0,3.0,0.0,0.0
07.07.2020,198343.0,279.0,9032.0,10.0,0.0,0.0
08.07.2020,198699.0,356.0,9046.0,14.0,0.0,0.0
09.07.2020,199001.0,302.0,9057.0,11.0,0.0,0.0
10.07.2020,199332.0,331.0,9063.0,6.0,0.0,0.0
11.07.2020,199709.0,377.0,9070.0,7.0,0.0,0.0
12.07.2020,199919.0,210.0,9071.0,1.0,0.0,0.0
13.07.2020,200180.0,261.0,9074.0,3.0,0.0,0.0
14.07.2020,200456.0,276.0,9078.0,4.0,0.0,0.0
15.07.2020,200890.0,434.0,9080.0,2.0,0.0,0.0
16.07.2020,201450.0,560.0,9087.0,7.0,0.0,0.0
17.07.2020,202045.0,595.0,9088.0,1.0,0.0,0.0
18.07.2020,202426.0,381.0,9091.0,3.0,0.0,0.0
19.07.2020,202735.0,309.0,9092.0,1.0,0.0,0.0
20.07.2020,203325.0,590.0,9094.0,2.0,0.0,0.0
21.07.2020,203717.0,392.0,9099.0,5.0,0.0,0.0
22.07.2020,204276.0,559.0,9102.0,3.0,0.0,0.0
23.07.2020,204881.0,605.0,9110.0,8.0,0.0,0.0
24.07.2020,205623.0,742.0,9120.0,10.0,0.0,0.0
25.07.2020,206278.0,655.0,9124.0,4.0,0.0,0.0
26.07.2020,206667.0,389.0,9124.0,0.0,0.0,0.0
27.07.2020,207112.0,445.0,9125.0,1.0,0.0,0.0
28.07.2020,207707.0,595.0,9131.0,6.0,0.0,0.0
29.07.2020,208546.0,839.0,9135.0,4.0,0.0,0.0
30.07.2020,209535.0,989.0,9144.0,9.0,0.0,0.0
31.07.2020,210399.0,864.0,9147.0,3.0,0.0,0.0
01.08.2020,211005.0,606.0,9154.0,7.0,0.0,0.0
02.08.2020,211220.0,215.0,9154.0,0.0,0.0,0.0
03.08.2020,212111.0,891.0,9154.0,0.0,0.0,0.0
04.08.2020,212828.0,717.0,9163.0,9.0,0.0,0.0
05.08.2020,214113.0,1285.0,9179.0,16.0,0.0,0.0
06.08.2020,215039.0,926.0,9181.0,2.0,0.0,0.0
07.08.2020,216196.0,1157.0,9195.0,14.0,0.0,0.0
08.08.2020,216903.0,707.0,9201.0,6.0,0.0,0.0
09.08.2020,217288.0,385.0,9202.0,1.0,0.0,0.0
10.08.2020,218508.0,1220.0,9203.0,1.0,0.0,0.0
11.08.2020,219540.0,1032.0,9208.0,5.0,0.0,0.0
12.08.2020,220859.0,1319.0,9213.0,5.0,0.0,0.0
13.08.2020,222281.0,1422.0,9217.0,4.0,0.0,0.0
14.08.2020,223791.0,1510.0,9230.0,13.0,0.0,0.0
15.08.2020,224488.0,697.0,9235.0,5.0,0.0,0.0
16.08.2020,225007.0,519.0,9235.0,0.0,0.0,0.0
17.08.2020,226700.0,1693.0,9236.0,1.0,0.0,0.0
18.08.2020,228120.0,1420.0,9241.0,5.0,0.0,0.0
19.08.2020,229706.0,1586.0,9249.0,8.0,0.0,0.0
20.08.2020,231292.0,1586.0,9263.0,14.0,0.0,0.0
21.08.2020,233029.0,1737.0,9266.0,3.0,0.0,0.0
22.08.2020,233861.0,832.0,9272.0,6.0,0.0,0.0
23.08.2020,234494.0,633.0,9275.0,3.0,0.0,0.0
24.08.2020,236122.0,1628.0,9276.0,1.0,0.0,0.0
25.08.2020,237583.0,1461.0,9281.0,5.0,0.0,0.0
26.08.2020,239010.0,1427.0,9285.0,4.0,0.0,0.0
27.08.2020,240571.0,1561.0,9290.0,5.0,0.0,0.0
28.08.2020,242126.0,1555.0,9290.0,0.0,0.0,0.0
29.08.2020,242835.0,709.0,9299.0,9.0,0.0,0.0
30.08.2020,243305.0,470.0,9300.0,1.0,0.0,0.0
31.08.2020,244802.0,1497.0,9303.0,3.0,0.0,0.0
01.09.2020,246015.0,1213.0,9307.0,4.0,0.0,0.0
02.09.2020,247411.0,1396.0,9322.0,15.0,0.0,0.0
03.09.2020,248840.0,1429.0,9322.0,0.0,0.0,0.0
04.09.2020,250283.0,1443.0,9327.0,5.0,0.0,0.0
05.09.2020,251058.0,775.0,9329.0,2.0,0.0,0.0
06.09.2020,251728.0,670.0,9330.0,1.0,0.0,0.0
07.09.2020,253626.0,1898.0,9331.0,1.0,0.0,0.0
08.09.2020,254957.0,1331.0,9336.0,5.0,0.0,0.0
09.09.2020,256433.0,1476.0,9342.0,6.0,0.0,0.0
10.09.2020,258149.0,1716.0,9345.0,3.0,0.0,0.0
11.09.2020,259735.0,1586.0,9348.0,3.0,0.0,0.0
12.09.2020,260817.0,1082.0,9352.0,4.0,0.0,0.0
13.09.2020,261737.0,920.0,9354.0,2.0,0.0,0.0
14.09.2020,263222.0,1485.0,9356.0,2.0,0.0,0.0
15.09.2020,265014.0,1792.0,9367.0,11.0,0.0,0.0
16.09.2020,266869.0,1855.0,9373.0,6.0,0.0,0.0
17.09.2020,269048.0,2179.0,9376.0,3.0,0.0,0.0
18.09.2020,271247.0,2199.0,9386.0,10.0,0.0,0.0
19.09.2020,272932.0,1685.0,9388.0,2.0,0.0,0.0
20.09.2020,273965.0,1033.0,9390.0,2.0,0.0,0.0
21.09.2020,275560.0,1595.0,9390.0,0.0,0.0,0.0
22.09.2020,277412.0,1852.0,9405.0,15.0,0.0,0.0
23.09.2020,279025.0,1613.0,9423.0,18.0,0.0,0.0
24.09.2020,281346.0,2321.0,9436.0,13.0,0.0,0.0
25.09.2020,283712.0,2366.0,9451.0,15.0,0.0,0.0
26.09.2020,285026.0,1314.0,9459.0,8.0,0.0,0.0
27.09.2020,286339.0,1313.0,9464.0,5.0,0.0,0.0
28.09.2020,288631.0,2292.0,9468.0,4.0,0.0,0.0
29.09.2020,290471.0,1840.0,9483.0,15.0,0.0,0.0
30.09.2020,292913.0,2442.0,9495.0,12.0,0.0,0.0
01.10.2020,295539.0,2626.0,9509.0,14.0,0.0,0.0
02.10.2020,298374.0,2835.0,9518.0,9.0,0.0,0.0
03.10.2020,300027.0,1653.0,9531.0,13.0,0.0,0.0
04.10.2020,301573.0,1546.0,9533.0,2.0,0.0,0.0
05.10.2020,304673.0,3100.0,9554.0,21.0,0.0,0.0
06.10.2020,307127.0,2454.0,9566.0,12.0,0.0,0.0
07.10.2020,311137.0,4010.0,9582.0,16.0,0.0,0.0
08.10.2020,315941.0,4804.0,9594.0,12.0,0.0,0.0
09.10.2020,320495.0,4554.0,9599.0,5.0,0.0,0.0
10.10.2020,323463.0,2968.0,9620.0,21.0,0.0,0.0
11.10.2020,326309.0,2846.0,9626.0,6.0,0.0,0.0
12.10.2020,332850.0,6541.0,9640.0,14.0,0.0,0.0
13.10.2020,337314.0,4464.0,9682.0,42.0,0.0,0.0
14.10.2020,344487.0,7173.0,9716.0,34.0,0.0,0.0
15.10.2020,352107.0,7620.0,9739.0,23.0,0.0,0.0
16.10.2020,359802.0,7695.0,9773.0,34.0,0.0,0.0
17.10.2020,364664.0,4862.0,9785.0,12.0,0.0,0.0
18.10.2020,368671.0,4007.0,9798.0,13.0,0.0,0.0
19.10.2020,377068.0,8397.0,9842.0,44.0,0.0,0.0
20.10.2020,385591.0,8523.0,9882.0,40.0,0.0,0.0
21.10.2020,397922.0,12331.0,9911.0,29.0,0.0,0.0
22.10.2020,403874.0,5952.0,9960.0,49.0,0.0,0.0
